target_dev_bacc,group_col,group_value,n,review_n,review_rate,p2_wrong_n,captured_p2_wrong_n,missed_p2_wrong_n,p2_wrong_capture_rate,review_precision_vs_p2_error
0.88,manual_quality_status_v1,pass_readable,79,0,0.0,23,0,23,0.0,
0.88,manual_quality_status_v1,reject_retake,21,0,0.0,7,0,7,0.0,
0.9,manual_quality_status_v1,borderline_review,8,0,0.0,2,0,2,0.0,
0.9,manual_quality_status_v1,pass_readable,79,0,0.0,23,0,23,0.0,
0.9,manual_quality_status_v1,reject_retake,21,0,0.0,7,0,7,0.0,
0.92,manual_quality_status_v1,borderline_review,8,0,0.0,2,0,2,0.0,
0.92,manual_quality_status_v1,pass_readable,79,0,0.0,23,0,23,0.0,
0.92,manual_quality_status_v1,reject_retake,21,0,0.0,7,0,7,0.0,
0.95,manual_quality_status_v1,borderline_review,8,0,0.0,2,0,2,0.0,
0.95,manual_quality_status_v1,pass_readable,79,0,0.0,23,0,23,0.0,
0.95,manual_quality_status_v1,reject_retake,21,0,0.0,7,0,7,0.0,
0.97,manual_quality_status_v1,borderline_review,8,0,0.0,2,0,2,0.0,
0.97,manual_quality_status_v1,pass_readable,79,0,0.0,23,0,23,0.0,
0.97,manual_quality_status_v1,reject_retake,21,0,0.0,7,0,7,0.0,
0.85,p2_error_direction,FN_high_to_low,15,0,0.0,15,0,15,0.0,
0.85,p2_error_direction,FP_low_to_high,17,0,0.0,17,0,17,0.0,
0.85,p2_error_direction,correct,76,0,0.0,0,0,0,,
0.88,p2_error_direction,FN_high_to_low,15,0,0.0,15,0,15,0.0,
0.88,p2_error_direction,FP_low_to_high,17,0,0.0,17,0,17,0.0,
0.88,p2_error_direction,correct,76,0,0.0,0,0,0,,
0.9,p2_error_direction,FN_high_to_low,15,0,0.0,15,0,15,0.0,
0.9,p2_error_direction,FP_low_to_high,17,0,0.0,17,0,17,0.0,
0.9,p2_error_direction,correct,76,0,0.0,0,0,0,,
0.92,p2_error_direction,FN_high_to_low,15,0,0.0,15,0,15,0.0,
0.92,p2_error_direction,FP_low_to_high,17,0,0.0,17,0,17,0.0,
0.92,p2_error_direction,correct,76,0,0.0,0,0,0,,
0.95,p2_error_direction,FN_high_to_low,15,0,0.0,15,0,15,0.0,
0.95,p2_error_direction,FP_low_to_high,17,0,0.0,17,0,17,0.0,
0.95,p2_error_direction,correct,76,0,0.0,0,0,0,,
0.97,p2_error_direction,FN_high_to_low,15,0,0.0,15,0,15,0.0,
0.97,p2_error_direction,FP_low_to_high,17,0,0.0,17,0,17,0.0,
0.97,p2_error_direction,correct,76,0,0.0,0,0,0,,
