candidate_id,review_policy,model,threshold,candidate_release_n,additional_release_n,all_folds_train_zero_error,folds_train_zero_error_count,min_train_additional_release_n,mean_train_additional_release_n,total_internal_additional_release_n,total_internal_additional_error_n,total_external_additional_release_n,total_external_additional_error_n,heldout_additional_release_n,heldout_additional_error_n
v161_final_review_or_reject||tabular_logreg_c1||0.60,v161_final_review_or_reject,tabular_logreg_c1,0.6,401,401,False,0,255,261.6,327,8,74,0,327,8
v161_final_review_or_reject||tabular_logreg_c1||0.65,v161_final_review_or_reject,tabular_logreg_c1,0.65,401,401,False,0,255,261.6,327,8,74,0,327,8
v161_final_review_or_reject||tabular_logreg_c1||0.70,v161_final_review_or_reject,tabular_logreg_c1,0.7,397,397,False,0,252,258.4,323,8,74,0,323,8
v161_final_review_or_reject||tabular_logreg_c1||0.75,v161_final_review_or_reject,tabular_logreg_c1,0.75,393,393,False,0,248,255.2,319,7,74,0,319,7
v161_final_review_or_reject||tabular_logreg_c1||0.80,v161_final_review_or_reject,tabular_logreg_c1,0.8,385,385,False,0,242,249.6,312,5,73,0,312,5
v161_final_review_or_reject||tabular_logreg_c1||0.85,v161_final_review_or_reject,tabular_logreg_c1,0.85,374,374,False,0,234,242.4,303,4,71,0,303,4
v161_final_review_or_reject||tabular_logreg_c1||0.90,v161_final_review_or_reject,tabular_logreg_c1,0.9,349,349,False,0,218,224.8,281,4,68,0,281,4
v161_final_review_or_reject||tabular_logreg_c1||0.95,v161_final_review_or_reject,tabular_logreg_c1,0.95,288,288,False,1,173,179.2,224,2,64,0,224,2
v118_review_or_control||dino_pca64_logreg_c03||0.50,v118_review_or_control,dino_pca64_logreg_c03,0.5,338,198,False,0,121,126.4,158,5,40,0,158,5
v118_review_or_control||dino_pca64_logreg_c03||0.55,v118_review_or_control,dino_pca64_logreg_c03,0.55,307,170,False,0,102,107.2,134,4,36,0,134,4
v118_review_or_control||dino_pca64_logreg_c03||0.60,v118_review_or_control,dino_pca64_logreg_c03,0.6,280,146,False,0,92,96.8,121,3,25,0,121,3
v118_review_or_control||dino_pca64_logreg_c03||0.65,v118_review_or_control,dino_pca64_logreg_c03,0.65,245,119,False,0,74,81.6,102,3,17,0,102,3
v118_review_or_control||dino_pca64_logreg_c03||0.70,v118_review_or_control,dino_pca64_logreg_c03,0.7,208,92,False,0,57,64.8,81,2,11,0,81,2
v118_review_or_control||dino_pca64_logreg_c03||0.75,v118_review_or_control,dino_pca64_logreg_c03,0.75,160,65,False,0,40,46.4,58,2,7,0,58,2
v118_review_or_control||dino_pca64_logreg_c03||0.80,v118_review_or_control,dino_pca64_logreg_c03,0.8,117,42,False,1,25,30.4,38,1,4,0,38,1
v118_review_or_control||dino_pca64_logreg_c03||0.85,v118_review_or_control,dino_pca64_logreg_c03,0.85,79,25,False,1,15,20.0,25,1,0,0,25,1
v118_review_or_control||dino_pca64_logreg_c03||0.90,v118_review_or_control,dino_pca64_logreg_c03,0.9,47,10,True,5,5,8.0,10,0,0,0,10,0
v118_review_or_control||dino_pca64_logreg_c03||0.95,v118_review_or_control,dino_pca64_logreg_c03,0.95,16,1,False,4,0,0.8,1,0,0,0,1,0
v161_final_review_or_reject||dino_pca64_logreg_c03||0.50,v161_final_review_or_reject,dino_pca64_logreg_c03,0.5,180,180,False,0,106,111.2,139,5,41,0,139,5
v161_final_review_or_reject||dino_pca64_logreg_c03||0.55,v161_final_review_or_reject,dino_pca64_logreg_c03,0.55,141,141,False,0,80,85.6,107,5,34,0,107,5
v161_final_review_or_reject||dino_pca64_logreg_c03||0.60,v161_final_review_or_reject,dino_pca64_logreg_c03,0.6,106,106,False,0,59,63.2,79,5,27,0,79,5
v161_final_review_or_reject||dino_pca64_logreg_c03||0.65,v161_final_review_or_reject,dino_pca64_logreg_c03,0.65,87,87,False,0,46,50.4,63,5,24,0,63,5
v161_final_review_or_reject||dino_pca64_logreg_c03||0.70,v161_final_review_or_reject,dino_pca64_logreg_c03,0.7,60,60,False,0,31,35.2,44,4,16,0,44,4
v161_final_review_or_reject||dino_pca64_logreg_c03||0.75,v161_final_review_or_reject,dino_pca64_logreg_c03,0.75,36,36,False,0,19,23.2,29,2,7,0,29,2
v161_final_review_or_reject||dino_pca64_logreg_c03||0.80,v161_final_review_or_reject,dino_pca64_logreg_c03,0.8,18,18,False,1,10,12.0,15,1,3,0,15,1
v161_final_review_or_reject||dino_pca64_logreg_c03||0.85,v161_final_review_or_reject,dino_pca64_logreg_c03,0.85,9,9,False,1,6,7.2,9,1,0,0,9,1
v161_final_review_or_reject||dino_pca64_logreg_c03||0.90,v161_final_review_or_reject,dino_pca64_logreg_c03,0.9,4,4,True,5,2,3.2,4,0,0,0,4,0
v161_final_review_or_reject||dino_pca64_logreg_c03||0.95,v161_final_review_or_reject,dino_pca64_logreg_c03,0.95,1,1,False,4,0,0.8,1,0,0,0,1,0
v118_review_or_control||dino_pca128_logreg_c01||0.50,v118_review_or_control,dino_pca128_logreg_c01,0.5,322,176,False,0,106,116.0,145,6,31,0,145,6
v118_review_or_control||dino_pca128_logreg_c01||0.55,v118_review_or_control,dino_pca128_logreg_c01,0.55,308,164,False,0,97,106.4,133,6,31,0,133,6
v118_review_or_control||dino_pca128_logreg_c01||0.60,v118_review_or_control,dino_pca128_logreg_c01,0.6,288,146,False,0,86,96.0,120,6,26,0,120,6
v118_review_or_control||dino_pca128_logreg_c01||0.65,v118_review_or_control,dino_pca128_logreg_c01,0.65,264,130,False,0,76,84.0,105,4,25,0,105,4
v118_review_or_control||dino_pca128_logreg_c01||0.70,v118_review_or_control,dino_pca128_logreg_c01,0.7,248,117,False,0,65,74.4,93,4,24,0,93,4
v118_review_or_control||dino_pca128_logreg_c01||0.75,v118_review_or_control,dino_pca128_logreg_c01,0.75,222,101,False,0,60,68.0,85,4,16,0,85,4
v118_review_or_control||dino_pca128_logreg_c01||0.80,v118_review_or_control,dino_pca128_logreg_c01,0.8,197,90,False,1,53,62.4,78,2,12,0,78,2
v118_review_or_control||dino_pca128_logreg_c01||0.85,v118_review_or_control,dino_pca128_logreg_c01,0.85,166,72,False,1,43,50.4,63,2,9,0,63,2
v118_review_or_control||dino_pca128_logreg_c01||0.90,v118_review_or_control,dino_pca128_logreg_c01,0.9,126,50,False,1,32,37.6,47,2,3,0,47,2
v118_review_or_control||dino_pca128_logreg_c01||0.95,v118_review_or_control,dino_pca128_logreg_c01,0.95,80,30,False,1,19,22.4,28,1,2,0,28,1
v161_final_review_or_reject||dino_pca128_logreg_c01||0.50,v161_final_review_or_reject,dino_pca128_logreg_c01,0.5,183,183,False,0,105,112.0,140,5,43,0,140,5
v161_final_review_or_reject||dino_pca128_logreg_c01||0.55,v161_final_review_or_reject,dino_pca128_logreg_c01,0.55,171,171,False,0,97,104.8,131,5,40,0,131,5
v161_final_review_or_reject||dino_pca128_logreg_c01||0.60,v161_final_review_or_reject,dino_pca128_logreg_c01,0.6,162,162,False,0,92,99.2,124,5,38,0,124,5
v161_final_review_or_reject||dino_pca128_logreg_c01||0.65,v161_final_review_or_reject,dino_pca128_logreg_c01,0.65,148,148,False,0,84,91.2,114,4,34,0,114,4
v161_final_review_or_reject||dino_pca128_logreg_c01||0.70,v161_final_review_or_reject,dino_pca128_logreg_c01,0.7,135,135,False,0,76,83.2,104,4,31,0,104,4
v161_final_review_or_reject||dino_pca128_logreg_c01||0.75,v161_final_review_or_reject,dino_pca128_logreg_c01,0.75,114,114,False,0,65,69.6,87,4,27,0,87,4
v161_final_review_or_reject||dino_pca128_logreg_c01||0.80,v161_final_review_or_reject,dino_pca128_logreg_c01,0.8,96,96,False,0,54,58.4,73,3,23,0,73,3
v161_final_review_or_reject||dino_pca128_logreg_c01||0.85,v161_final_review_or_reject,dino_pca128_logreg_c01,0.85,76,76,False,0,42,48.0,60,2,16,0,60,2
v161_final_review_or_reject||dino_pca128_logreg_c01||0.90,v161_final_review_or_reject,dino_pca128_logreg_c01,0.9,58,58,False,0,29,36.0,45,2,13,0,45,2
v161_final_review_or_reject||dino_pca128_logreg_c01||0.95,v161_final_review_or_reject,dino_pca128_logreg_c01,0.95,34,34,False,0,18,23.2,29,2,5,0,29,2
v118_review_or_control||tabular_dino_pca64_logreg_c03||0.50,v118_review_or_control,tabular_dino_pca64_logreg_c03,0.5,358,214,False,0,136,140.0,175,6,39,0,175,6
v118_review_or_control||tabular_dino_pca64_logreg_c03||0.55,v118_review_or_control,tabular_dino_pca64_logreg_c03,0.55,331,189,False,0,116,121.6,152,6,37,0,152,6
v118_review_or_control||tabular_dino_pca64_logreg_c03||0.60,v118_review_or_control,tabular_dino_pca64_logreg_c03,0.6,298,162,False,0,101,106.4,133,5,29,0,133,5
v118_review_or_control||tabular_dino_pca64_logreg_c03||0.65,v118_review_or_control,tabular_dino_pca64_logreg_c03,0.65,269,139,False,0,88,93.6,117,4,22,0,117,4
v118_review_or_control||tabular_dino_pca64_logreg_c03||0.70,v118_review_or_control,tabular_dino_pca64_logreg_c03,0.7,237,114,False,0,71,79.2,99,3,15,0,99,3
v118_review_or_control||tabular_dino_pca64_logreg_c03||0.75,v118_review_or_control,tabular_dino_pca64_logreg_c03,0.75,199,86,False,0,52,59.2,74,2,12,0,74,2
v118_review_or_control||tabular_dino_pca64_logreg_c03||0.80,v118_review_or_control,tabular_dino_pca64_logreg_c03,0.8,156,60,False,0,38,44.0,55,2,5,0,55,2
v118_review_or_control||tabular_dino_pca64_logreg_c03||0.85,v118_review_or_control,tabular_dino_pca64_logreg_c03,0.85,114,38,False,0,24,28.0,35,2,3,0,35,2
v118_review_or_control||tabular_dino_pca64_logreg_c03||0.90,v118_review_or_control,tabular_dino_pca64_logreg_c03,0.9,77,21,False,1,12,16.8,21,1,0,0,21,1
v118_review_or_control||tabular_dino_pca64_logreg_c03||0.95,v118_review_or_control,tabular_dino_pca64_logreg_c03,0.95,29,5,True,5,2,4.0,5,0,0,0,5,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||0.50,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,0.5,188,188,False,0,113,118.4,148,6,40,0,148,6
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||0.55,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,0.55,156,156,False,0,91,96.0,120,5,36,0,120,5
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||0.60,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,0.6,123,123,False,0,72,75.2,94,5,29,0,94,5
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||0.65,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,0.65,98,98,False,0,55,58.4,73,5,25,0,73,5
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||0.70,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,0.7,81,81,False,0,44,47.2,59,5,22,0,59,5
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||0.75,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,0.75,54,54,False,0,31,33.6,42,5,12,0,42,5
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||0.80,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,0.8,31,31,False,0,16,19.2,24,2,7,0,24,2
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||0.85,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,0.85,15,15,False,1,8,10.4,13,1,2,0,13,1
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||0.90,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,0.9,10,10,False,1,6,8.0,10,1,0,0,10,1
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||0.95,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,0.95,2,2,True,5,1,1.6,2,0,0,0,2,0
v118_review_or_control||tabular_dino_extra_trees_d4||0.50,v118_review_or_control,tabular_dino_extra_trees_d4,0.5,489,335,False,0,215,224.0,280,9,55,0,280,9
v118_review_or_control||tabular_dino_extra_trees_d4||0.55,v118_review_or_control,tabular_dino_extra_trees_d4,0.55,333,193,False,0,129,134.4,168,5,25,0,168,5
v118_review_or_control||tabular_dino_extra_trees_d4||0.60,v118_review_or_control,tabular_dino_extra_trees_d4,0.6,133,45,False,1,28,32.8,41,1,4,0,41,1
v118_review_or_control||tabular_dino_extra_trees_d4||0.65,v118_review_or_control,tabular_dino_extra_trees_d4,0.65,44,11,False,1,6,8.8,11,1,0,0,11,1
v118_review_or_control||tabular_dino_extra_trees_d4||0.70,v118_review_or_control,tabular_dino_extra_trees_d4,0.7,7,1,False,4,0,0.8,1,0,0,0,1,0
v118_review_or_control||tabular_dino_extra_trees_d4||0.75,v118_review_or_control,tabular_dino_extra_trees_d4,0.75,0,0,False,0,0,0.0,0,0,0,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||0.80,v118_review_or_control,tabular_dino_extra_trees_d4,0.8,0,0,False,0,0,0.0,0,0,0,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||0.85,v118_review_or_control,tabular_dino_extra_trees_d4,0.85,0,0,False,0,0,0.0,0,0,0,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||0.90,v118_review_or_control,tabular_dino_extra_trees_d4,0.9,0,0,False,0,0,0.0,0,0,0,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||0.95,v118_review_or_control,tabular_dino_extra_trees_d4,0.95,0,0,False,0,0,0.0,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||0.50,v161_final_review_or_reject,tabular_dino_extra_trees_d4,0.5,342,342,False,0,222,228.8,286,8,56,0,286,8
v161_final_review_or_reject||tabular_dino_extra_trees_d4||0.55,v161_final_review_or_reject,tabular_dino_extra_trees_d4,0.55,182,182,False,0,116,118.4,148,6,34,0,148,6
v161_final_review_or_reject||tabular_dino_extra_trees_d4||0.60,v161_final_review_or_reject,tabular_dino_extra_trees_d4,0.6,28,28,False,1,16,21.6,27,1,1,0,27,1
v161_final_review_or_reject||tabular_dino_extra_trees_d4||0.65,v161_final_review_or_reject,tabular_dino_extra_trees_d4,0.65,4,4,False,0,0,3.2,4,1,0,0,4,1
v161_final_review_or_reject||tabular_dino_extra_trees_d4||0.70,v161_final_review_or_reject,tabular_dino_extra_trees_d4,0.7,1,1,False,0,0,0.8,1,1,0,0,1,1
v161_final_review_or_reject||tabular_dino_extra_trees_d4||0.75,v161_final_review_or_reject,tabular_dino_extra_trees_d4,0.75,0,0,False,0,0,0.0,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||0.80,v161_final_review_or_reject,tabular_dino_extra_trees_d4,0.8,0,0,False,0,0,0.0,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||0.85,v161_final_review_or_reject,tabular_dino_extra_trees_d4,0.85,0,0,False,0,0,0.0,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||0.90,v161_final_review_or_reject,tabular_dino_extra_trees_d4,0.9,0,0,False,0,0,0.0,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||0.95,v161_final_review_or_reject,tabular_dino_extra_trees_d4,0.95,0,0,False,0,0,0.0,0,0,0,0,0,0
v118_review_or_control||tabular_hgb_l2||0.50,v118_review_or_control,tabular_hgb_l2,0.5,559,402,False,0,255,262.4,328,9,74,0,328,9
v118_review_or_control||tabular_hgb_l2||0.55,v118_review_or_control,tabular_hgb_l2,0.55,559,402,False,0,255,262.4,328,9,74,0,328,9
v118_review_or_control||tabular_hgb_l2||0.60,v118_review_or_control,tabular_hgb_l2,0.6,559,402,False,0,255,262.4,328,9,74,0,328,9
v118_review_or_control||tabular_hgb_l2||0.65,v118_review_or_control,tabular_hgb_l2,0.65,559,402,False,0,255,262.4,328,9,74,0,328,9
v118_review_or_control||tabular_hgb_l2||0.70,v118_review_or_control,tabular_hgb_l2,0.7,559,402,False,0,255,262.4,328,9,74,0,328,9
v118_review_or_control||tabular_hgb_l2||0.75,v118_review_or_control,tabular_hgb_l2,0.75,558,401,False,0,254,261.6,327,9,74,0,327,9
v118_review_or_control||tabular_hgb_l2||0.80,v118_review_or_control,tabular_hgb_l2,0.8,558,401,False,0,254,261.6,327,9,74,0,327,9
v118_review_or_control||tabular_hgb_l2||0.85,v118_review_or_control,tabular_hgb_l2,0.85,555,398,False,0,253,259.2,324,7,74,0,324,7
v118_review_or_control||tabular_hgb_l2||0.90,v118_review_or_control,tabular_hgb_l2,0.9,539,389,False,0,245,252.0,315,7,74,0,315,7
v118_review_or_control||tabular_hgb_l2||0.95,v118_review_or_control,tabular_hgb_l2,0.95,496,367,False,0,227,235.2,294,6,73,0,294,6
v161_final_review_or_reject||tabular_hgb_l2||0.50,v161_final_review_or_reject,tabular_hgb_l2,0.5,402,402,False,0,255,262.4,328,9,74,0,328,9
v161_final_review_or_reject||tabular_hgb_l2||0.55,v161_final_review_or_reject,tabular_hgb_l2,0.55,402,402,False,0,255,262.4,328,9,74,0,328,9
v161_final_review_or_reject||tabular_hgb_l2||0.60,v161_final_review_or_reject,tabular_hgb_l2,0.6,399,399,False,0,253,260.0,325,9,74,0,325,9
v161_final_review_or_reject||tabular_hgb_l2||0.65,v161_final_review_or_reject,tabular_hgb_l2,0.65,398,398,False,0,252,259.2,324,9,74,0,324,9
v161_final_review_or_reject||tabular_hgb_l2||0.70,v161_final_review_or_reject,tabular_hgb_l2,0.7,395,395,False,0,250,256.8,321,9,74,0,321,9
v161_final_review_or_reject||tabular_hgb_l2||0.75,v161_final_review_or_reject,tabular_hgb_l2,0.75,395,395,False,0,250,256.8,321,9,74,0,321,9
v161_final_review_or_reject||tabular_hgb_l2||0.80,v161_final_review_or_reject,tabular_hgb_l2,0.8,390,390,False,0,247,252.8,316,6,74,0,316,6
v161_final_review_or_reject||tabular_hgb_l2||0.85,v161_final_review_or_reject,tabular_hgb_l2,0.85,382,382,False,0,244,249.6,312,5,70,0,312,5
v161_final_review_or_reject||tabular_hgb_l2||0.90,v161_final_review_or_reject,tabular_hgb_l2,0.9,368,368,False,0,232,239.2,299,5,69,0,299,5
v161_final_review_or_reject||tabular_hgb_l2||0.95,v161_final_review_or_reject,tabular_hgb_l2,0.95,339,339,False,0,209,217.6,272,4,67,0,272,4
