candidate_id,review_policy,model,feature_set,threshold,old_data_action_n,old_data_action_error_n,third_batch_action_n,third_batch_action_error_n,strict_external_action_n,strict_external_action_error_n
v118_review_or_control||tabular_dino_extra_trees_d4||agreement_release_only||0.925,v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.925,0,0,0,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||agreement_release_only||0.950,v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.95,0,0,0,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||agreement_release_only||0.975,v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.975,0,0,0,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||agreement_release_only||0.985,v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.985,0,0,0,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||agreement_release_only||0.990,v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.99,0,0,0,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||agreement_release_only||0.995,v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.995,0,0,0,0,0,0
v118_review_or_control||tabular_dino_pca64_logreg_c03||agreement_release_only||0.500,v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.5,73,0,92,6,57,0
v118_review_or_control||tabular_dino_pca64_logreg_c03||agreement_release_only||0.600,v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.6,50,0,73,5,46,0
v118_review_or_control||tabular_dino_pca64_logreg_c03||agreement_release_only||0.700,v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.7,37,0,52,3,30,0
v118_review_or_control||tabular_dino_pca64_logreg_c03||agreement_release_only||0.800,v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.8,16,0,29,2,18,0
v118_review_or_control||tabular_dino_pca64_logreg_c03||agreement_release_only||0.850,v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.85,4,0,21,2,10,0
v118_review_or_control||tabular_dino_pca64_logreg_c03||agreement_release_only||0.900,v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.9,1,0,10,1,7,0
v118_review_or_control||tabular_dino_pca64_logreg_c03||agreement_release_only||0.925,v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.925,0,0,2,0,5,0
v118_review_or_control||tabular_dino_pca64_logreg_c03||agreement_release_only||0.950,v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.95,0,0,0,0,3,0
v118_review_or_control||tabular_dino_pca64_logreg_c03||agreement_release_only||0.975,v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.975,0,0,0,0,3,0
v118_review_or_control||tabular_dino_pca64_logreg_c03||agreement_release_only||0.985,v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.985,0,0,0,0,1,0
v118_review_or_control||tabular_dino_pca64_logreg_c03||agreement_release_only||0.990,v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.99,0,0,0,0,1,0
v118_review_or_control||tabular_dino_pca64_logreg_c03||agreement_release_only||0.995,v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.995,0,0,0,0,1,0
v118_review_or_control||tabular_hgb_l2||agreement_release_only||0.500,v118_review_or_control,tabular_hgb_l2,tabular,0.5,154,1,164,8,94,0
v118_review_or_control||tabular_hgb_l2||agreement_release_only||0.600,v118_review_or_control,tabular_hgb_l2,tabular,0.6,154,1,164,8,94,0
v118_review_or_control||tabular_hgb_l2||agreement_release_only||0.700,v118_review_or_control,tabular_hgb_l2,tabular,0.7,154,1,164,8,94,0
v118_review_or_control||tabular_hgb_l2||agreement_release_only||0.800,v118_review_or_control,tabular_hgb_l2,tabular,0.8,154,1,164,8,94,0
v118_review_or_control||tabular_hgb_l2||agreement_release_only||0.850,v118_review_or_control,tabular_hgb_l2,tabular,0.85,154,1,161,6,94,0
v118_review_or_control||tabular_hgb_l2||agreement_release_only||0.900,v118_review_or_control,tabular_hgb_l2,tabular,0.9,149,1,157,6,94,0
v118_review_or_control||tabular_hgb_l2||agreement_release_only||0.925,v118_review_or_control,tabular_hgb_l2,tabular,0.925,147,1,155,6,91,0
v118_review_or_control||tabular_hgb_l2||agreement_release_only||0.950,v118_review_or_control,tabular_hgb_l2,tabular,0.95,139,0,146,6,84,0
v118_review_or_control||tabular_hgb_l2||agreement_release_only||0.975,v118_review_or_control,tabular_hgb_l2,tabular,0.975,126,0,135,4,75,0
v118_review_or_control||tabular_hgb_l2||agreement_release_only||0.985,v118_review_or_control,tabular_hgb_l2,tabular,0.985,94,0,103,3,72,0
v118_review_or_control||tabular_hgb_l2||agreement_release_only||0.990,v118_review_or_control,tabular_hgb_l2,tabular,0.99,66,0,61,2,46,0
v118_review_or_control||tabular_hgb_l2||agreement_release_only||0.995,v118_review_or_control,tabular_hgb_l2,tabular,0.995,3,0,0,0,6,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.500,v118_review_or_control,tabular_logreg_c1,tabular,0.5,154,1,164,8,94,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.600,v118_review_or_control,tabular_logreg_c1,tabular,0.6,154,1,164,8,94,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.700,v118_review_or_control,tabular_logreg_c1,tabular,0.7,154,1,164,8,94,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.800,v118_review_or_control,tabular_logreg_c1,tabular,0.8,154,1,164,8,94,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.850,v118_review_or_control,tabular_logreg_c1,tabular,0.85,154,1,160,7,94,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.900,v118_review_or_control,tabular_logreg_c1,tabular,0.9,153,1,148,5,94,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.925,v118_review_or_control,tabular_logreg_c1,tabular,0.925,153,1,130,4,94,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.950,v118_review_or_control,tabular_logreg_c1,tabular,0.95,142,0,109,4,90,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.975,v118_review_or_control,tabular_logreg_c1,tabular,0.975,118,0,55,2,75,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.985,v118_review_or_control,tabular_logreg_c1,tabular,0.985,82,0,31,2,37,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.990,v118_review_or_control,tabular_logreg_c1,tabular,0.99,54,0,17,2,12,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.995,v118_review_or_control,tabular_logreg_c1,tabular,0.995,10,0,3,0,0,0
v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.500,v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.5,57,0,75,5,43,0
v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.600,v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.6,50,0,66,5,38,0
v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.700,v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.7,45,0,52,4,31,0
v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.800,v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.8,28,0,39,3,23,0
v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.850,v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.85,21,0,33,2,16,0
v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.900,v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.9,15,0,25,2,13,0
v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.925,v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.925,13,0,21,2,7,0
v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.950,v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.95,9,0,15,2,5,0
v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.975,v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.975,8,0,12,2,4,0
v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.985,v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.985,4,0,8,0,0,0
v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.990,v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.99,3,0,7,0,0,0
v161_final_review_or_reject||dino_pca128_logreg_c01||agreement_release_only||0.995,v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.995,3,0,5,0,0,0
v161_final_review_or_reject||dino_pca64_logreg_c03||agreement_release_only||0.500,v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.5,59,0,70,5,41,0
v161_final_review_or_reject||dino_pca64_logreg_c03||agreement_release_only||0.600,v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.6,26,0,47,5,27,0
v161_final_review_or_reject||dino_pca64_logreg_c03||agreement_release_only||0.700,v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.7,13,0,27,4,16,0
v161_final_review_or_reject||dino_pca64_logreg_c03||agreement_release_only||0.800,v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.8,3,0,10,1,3,0
v161_final_review_or_reject||dino_pca64_logreg_c03||agreement_release_only||0.850,v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.85,2,0,6,1,0,0
v161_final_review_or_reject||dino_pca64_logreg_c03||agreement_release_only||0.900,v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.9,1,0,2,0,0,0
v161_final_review_or_reject||dino_pca64_logreg_c03||agreement_release_only||0.925,v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.925,0,0,2,0,0,0
v161_final_review_or_reject||dino_pca64_logreg_c03||agreement_release_only||0.950,v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.95,0,0,1,0,0,0
v161_final_review_or_reject||dino_pca64_logreg_c03||agreement_release_only||0.975,v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.975,0,0,1,0,0,0
v161_final_review_or_reject||dino_pca64_logreg_c03||agreement_release_only||0.985,v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.985,0,0,0,0,0,0
v161_final_review_or_reject||dino_pca64_logreg_c03||agreement_release_only||0.990,v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.99,0,0,0,0,0,0
v161_final_review_or_reject||dino_pca64_logreg_c03||agreement_release_only||0.995,v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.995,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||agreement_release_only||0.500,v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.5,135,1,141,7,56,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||agreement_release_only||0.600,v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.6,5,0,18,1,1,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||agreement_release_only||0.700,v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.7,0,0,1,1,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||agreement_release_only||0.800,v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.8,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||agreement_release_only||0.850,v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.85,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||agreement_release_only||0.900,v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.9,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||agreement_release_only||0.925,v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.925,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||agreement_release_only||0.950,v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.95,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||agreement_release_only||0.975,v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.975,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||agreement_release_only||0.985,v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.985,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||agreement_release_only||0.990,v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.99,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_extra_trees_d4||agreement_release_only||0.995,v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.995,0,0,0,0,0,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||agreement_release_only||0.500,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.5,61,0,77,6,40,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||agreement_release_only||0.600,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.6,36,0,50,5,29,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||agreement_release_only||0.700,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.7,16,0,37,5,22,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||agreement_release_only||0.800,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.8,7,0,15,2,7,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||agreement_release_only||0.850,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.85,2,0,9,1,2,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||agreement_release_only||0.900,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.9,2,0,7,1,0,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||agreement_release_only||0.925,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.925,1,0,2,0,0,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||agreement_release_only||0.950,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.95,0,0,2,0,0,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||agreement_release_only||0.975,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.975,0,0,1,0,0,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||agreement_release_only||0.985,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.985,0,0,1,0,0,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||agreement_release_only||0.990,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.99,0,0,1,0,0,0
v161_final_review_or_reject||tabular_dino_pca64_logreg_c03||agreement_release_only||0.995,v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.995,0,0,0,0,0,0
v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.500,v161_final_review_or_reject,tabular_hgb_l2,tabular,0.5,154,1,164,8,74,0
v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.600,v161_final_review_or_reject,tabular_hgb_l2,tabular,0.6,154,1,161,8,74,0
v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.700,v161_final_review_or_reject,tabular_hgb_l2,tabular,0.7,151,1,160,8,74,0
v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.800,v161_final_review_or_reject,tabular_hgb_l2,tabular,0.8,150,1,156,5,74,0
v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.850,v161_final_review_or_reject,tabular_hgb_l2,tabular,0.85,149,1,154,4,70,0
v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.900,v161_final_review_or_reject,tabular_hgb_l2,tabular,0.9,143,1,148,4,69,0
v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.925,v161_final_review_or_reject,tabular_hgb_l2,tabular,0.925,135,0,146,4,68,0
v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.950,v161_final_review_or_reject,tabular_hgb_l2,tabular,0.95,126,0,138,4,67,0
v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.975,v161_final_review_or_reject,tabular_hgb_l2,tabular,0.975,108,0,111,2,62,0
v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.985,v161_final_review_or_reject,tabular_hgb_l2,tabular,0.985,80,0,83,1,46,0
v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.990,v161_final_review_or_reject,tabular_hgb_l2,tabular,0.99,61,0,56,0,33,0
v161_final_review_or_reject||tabular_hgb_l2||agreement_release_only||0.995,v161_final_review_or_reject,tabular_hgb_l2,tabular,0.995,0,0,0,0,18,0
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.500,v161_final_review_or_reject,tabular_logreg_c1,tabular,0.5,154,1,164,8,74,0
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.600,v161_final_review_or_reject,tabular_logreg_c1,tabular,0.6,154,1,163,7,74,0
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.700,v161_final_review_or_reject,tabular_logreg_c1,tabular,0.7,154,1,162,7,74,0
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.800,v161_final_review_or_reject,tabular_logreg_c1,tabular,0.8,154,1,151,4,73,0
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.850,v161_final_review_or_reject,tabular_logreg_c1,tabular,0.85,152,1,144,3,71,0
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.900,v161_final_review_or_reject,tabular_logreg_c1,tabular,0.9,148,1,127,3,68,0
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.925,v161_final_review_or_reject,tabular_logreg_c1,tabular,0.925,131,0,114,2,66,0
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.950,v161_final_review_or_reject,tabular_logreg_c1,tabular,0.95,118,0,101,2,64,0
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.975,v161_final_review_or_reject,tabular_logreg_c1,tabular,0.975,94,0,66,1,52,0
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.985,v161_final_review_or_reject,tabular_logreg_c1,tabular,0.985,79,0,43,0,38,0
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.990,v161_final_review_or_reject,tabular_logreg_c1,tabular,0.99,67,0,23,0,31,0
v161_final_review_or_reject||tabular_logreg_c1||agreement_release_only||0.995,v161_final_review_or_reject,tabular_logreg_c1,tabular,0.995,44,0,13,0,15,0
